Gl 10.1               Wo 9005       00 11 33.08 -58 54 35.4   0.273  -0.005 J00113307-5854353  7.186  6.952  6.855         Hipparcos
GJ 3013               HIP 950       00 11 44.01 -35 07 59.2   0.169   0.115 J00114399-3507593  4.414  4.159  4.134         Hipparcos
GJ 1004                             00 12 14.75 +50 25 20.7  -0.422  -0.581 J00121479+5025213 13.490 13.249 13.191         2MASS
GJ 2001               HIP 1031      00 12 50.25 -57 54 45.4  -0.118   0.036 J00125025-5754454  5.852  5.470  5.383 c       Hipparcos
Gl 11 AB              HIP 1068      00 13 15.82 +69 19 36.8   0.717  -0.292 J00131578+6919372  8.556  7.984  7.746 c,e,f   Hipparcos
GJ 3014 A             HIP 1092      00 13 38.71 +80 39 56.8   0.253   0.185 J00133880+8039569  7.756  7.131  6.904         Hipparcos
GJ 3015 B                           00 13 42.98 +80 39 49.3   0.244   0.164 J00134305+8039494 10.936 10.370 10.059         2MASS
GJ 3016                             00 14 12.79 -13 11 01.0  -0.557  -0.721 J00141284-1310599 14.813 14.549 14.628         2MASS
GJ 2002               HIP 1144 A    00 14 20.20 -27 31 53.2  -0.014  -0.152 J00142021-2731532  6.252  5.975  5.865 c       Hipparcos
GJ 1005 AB            HIP 1242      00 15 28.11 -16 08 01.7   0.728  -0.617 J00152799-1608008  7.215  6.712  6.390 e,f     Hipparcos
GJ 3017                             00 15 36.71 -29 46 00.5   0.092  -0.092 J00153670-2946003  9.775  9.254  8.896         2MASS
GJ 3019 B                           00 15 43.46 -67 59 36.2   0.610  -0.150 J00154354-6759362  8.804  8.257  8.020         2MASS
Gl 12                               00 15 49.25 +13 33 22.3   0.618   0.319 J00154919+1333218  8.619  8.068  7.807         2MASS
GJ 3018 A                           00 15 51.48 -67 59 51.8   0.610  -0.150 J00155156-6759519  7.795  7.211  6.949         2MASS
GJ 3020               HIP 1276      00 16 01.99 -48 15 39.1  -0.056  -0.243 J00160199-4815392  7.969  7.357  7.112         Hipparcos
GJ 3021               HIP 1292      00 16 12.68 -79 51 04.3   0.434  -0.058 J00161266-7951042  5.366  4.990  4.859         Hipparcos
GJ 1006 A             HIP 1295      00 16 14.63 +19 51 37.7   0.721  -0.753 J00161455+1951385  7.875  7.322  7.087         Hipparcos
GJ 1006 B                           00 16 16.14 +19 51 50.6   0.701  -0.765 J00161607+1951515  8.893  8.339  8.097         2MASS
Wo 9006                             00 16 21.46 +15 55 14.4   0.208   0.151 J00162143+1555141 11.338 10.726 10.537         2MASS
Gl 13                 HIP 1349      00 16 53.90 -52 39 04.1   0.313   0.181 J00165387-5239043  5.567  5.195  5.111         Hipparcos
GJ 1007                             00 16 56.30 +05 07 26.5  -0.055  -0.633 J00165629+0507261  9.398  8.869  8.587         2MASS
GJ 3022                             00 16 56.81 +20 03 55.2   0.243   0.026 J00165678+2003551  9.681  9.079  8.800         2MASS
Gl 14                 HIP 1368      00 17 06.38 +40 56 53.9   0.569   0.081 J00170635+4056538  6.385  5.748  5.577         Hipparcos
Gl 14.1               Wo 9007       00 17 16.53 -43 51 09.8   0.396  -0.016 J00171653-4351097  6.766  6.480  6.384 c       Hipparcos
GJ 3023               HIP 1386      00 17 20.32 +29 10 58.8   0.691   0.429 J00172021+2910578  8.152  7.499  7.241         Hipparcos
GJ 3024                             00 17 28.18 -08 44 22.7   0.371  -0.113 J00172815-0844225  9.164  8.599  8.363         2MASS
GJ 3025               HIP 1412      00 17 40.90 -08 40 56.2   0.306   0.019 J00174088-0840559  8.095  7.472  7.245         Hipparcos
GJ 3026                             00 17 54.61 -17 54 45.3   0.211   0.073 J00175462-1754452  9.608  9.021  8.798         2MASS
Wo 9008               HIP 1444      00 17 58.87 -13 27 20.3   0.400  -0.001 J00175884-1327204  5.383  5.065  4.993         Hipparcos
Gl 16                 HIP 1463      00 18 16.59 +10 12 10.0   0.004  -0.031 J00181659+1012100  7.564  6.922  6.741         Hipparcos
Gl 15 A               HIP 1475      00 18 22.89 +44 01 22.6   2.888   0.409 J00182256+4401222  5.252  4.476  4.018         Hipparcos
Gl 15 B               HD 1326 B     00 18 25.81 +44 01 38.1   2.882   0.415 J00182549+4401376  6.789  6.191  5.948         2MASS
Gl 16.1               Wo 9009       00 18 41.87 -08 03 10.8   0.419  -0.145 J00184182-0803105  5.329  5.041  4.897         Hipparcos
GJ 3027                             00 18 53.59 +27 48 49.8   0.388  -0.104 J00185352+2748499  9.535  8.930  8.648         2MASS
GJ 1008               HIP 1532      00 19 05.56 -09 57 53.5  -0.037  -0.305 J00190556-0957530  7.376  6.710  6.549         Hipparcos
Gl 17                 HIP 1599      00 20 04.26 -64 52 29.3   1.708   1.165 J00200446-6452282  3.068  2.738  2.769         Hipparcos
GJ 2003               HIP 1608      00 20 08.38 -17 03 41.0   0.136  -0.009 J00200837-1703409  8.545  7.914  7.695         Hipparcos
GJ 3028                             00 20 29.40 +33 05 06.4   1.055  -0.861 J00202922+3305081 10.284  9.691  9.330         2MASS
Gl 17.1               Wo 9010       00 21 19.62 -45 44 47.1   0.069  -0.816 J00211961-4544465  7.412  6.810  6.544         Hipparcos
GJ 3029               HIP 1720      00 21 37.27 -46 05 33.4  -0.301  -0.360 J00213729-4605331  8.325  7.734  7.447         Hipparcos
GJ 1009               HIP 1734      00 21 56.04 -31 24 21.9   0.056  -0.196 J00215604-3124215  7.674  7.052  6.785         Hipparcos
GJ 3030                             00 21 57.84 +49 12 37.9   0.218  -0.031 J00215781+4912379  9.139  8.454  8.205         2MASS
GJ 3031                             00 22 15.19 +42 36 42.3  -0.175  -0.269 J00221520+4236425 15.341 15.119 14.939         2MASS
Gl 17.2               Wo 9011       00 22 23.61 -27 01 57.3   0.235  -0.407 J00222359-2701567  6.696  6.244  6.129         Hipparcos
Gl 17.3               Wo 9012       00 22 51.79 -12 12 34.0   0.394   0.061 J00225174-1212340  5.253  5.035  4.861         Hipparcos
GJ 2004               HIP 1837      00 23 15.96 -33 10 03.1  -0.033   0.126 J00231598-3310032  6.801  6.295  6.134         Hipparcos
GJ 3032               HIP 1842      00 23 18.53 -50 53 38.0   0.548  -0.001 J00231851-5053380  8.259  7.640  7.375         Hipparcos
GJ 1011                             00 23 27.99 +24 18 24.7  -0.229   0.122 J00232802+2418244  9.753  9.170  8.867         2MASS
GJ 1010 A             HIP 1860      00 23 28.82 +77 11 21.5  -0.838   0.045 J00232865+7711217  8.042  7.390  7.187         Hipparcos
GJ 1010 B                           00 23 31.83 +77 11 26.7  -0.799   0.042 J00233165+7711267  9.934  9.358  9.110         2MASS
Gl 18                 HIP 1936      00 24 25.93 -27 01 36.4   0.668   0.084 J00242587-2701364  6.197  5.707  5.559         Hipparcos
GJ 3033                             00 24 34.88 +30 02 29.5   0.605  -0.002 J00243478+3002295  9.776  9.218  8.892         2MASS
GJ 2005 A                           00 24 44.19 -27 08 24.2  -0.055   0.612 J00244419-2708242  9.254  8.547  8.241 d       2MASS
GJ 3034                             00 25 20.60 +22 53 11.1  -0.217  -0.472 J00252063+2253121  9.716  9.155  8.868         2MASS
Gl 19                 HIP 2021      00 25 45.07 -77 15 15.3   2.222   0.323 J00254416-7715157  1.676  1.434  1.372         Hipparcos
Gl 20                 HIP 2072      00 26 12.20 -43 40 47.4   0.106   0.031 J00261219-4340475  3.739  3.585  3.590         Hipparcos
Wo 9013               HIP 2081      00 26 17.05 -42 18 21.5   0.200  -0.396 J00261699-4218216  0.579 -0.089 -0.166 c       Hipparcos
Gl 21                 HIP 2120      00 26 52.71 +70 08 32.7  -0.136  -0.145 J00265268+7008326  7.411  6.742  6.568         Hipparcos
GJ 3035                             00 27 06.79 +49 41 52.8   0.397  -0.264 J00270673+4941531  9.733  9.160  8.852         2MASS
GJ 2006 A                           00 27 50.24 -32 33 06.1   0.087  -0.023 J00275023-3233060  8.882  8.236  8.012 c       2MASS
GJ 2006 B                           00 27 50.36 -32 33 23.9   0.087  -0.023 J00275035-3233238  8.973  8.390  8.116 c       2MASS
GJ 1012                             00 28 39.46 -06 39 49.1  -0.330  -0.805 J00283948-0639481  8.038  7.504  7.189         2MASS
GJ 3036                             00 28 53.97 +50 22 33.2   0.423   0.121 J00285391+5022330  8.847  8.289  7.991         2MASS
GJ 2007               HIP 2342      00 29 55.08 -32 16 24.1   0.132  -0.028 J00295508-3216239  6.312  5.775  5.646 c       Hipparcos
GJ 1013                             00 31 35.42 -05 52 12.8   0.319  -1.051 J00313539-0552115  8.762  8.217  7.945         2MASS
GJ 3037                             00 32 09.86 -02 54 01.9   0.635   0.150 J00320980-0254020 15.635 15.380 15.166         2MASS
GJ 3038               HIP 2540      00 32 15.42 -63 05 28.5   0.532  -0.100 J00321547-6305284  7.016  6.342  6.169         Hipparcos
Gl 22 AC              HIP 2552      00 32 29.43 +67 14 08.4   1.741  -0.247 J00322970+6714080  6.844  6.268  6.037 e,f     Hipparcos
Gl 22 B               HIP 2552 B    00 32 29.59 +67 14 03.6   1.741  -0.247 J00322979+6714043  7.172  6.538  6.377         Hipparcos
GJ 3039                             00 32 34.80 +07 29 27.2   0.174  -0.067 J00323480+0729271  8.397  7.790  7.508         2MASS
Wo 9015 AB            HIP 2578      00 32 43.91 -63 01 53.4   0.087  -0.052 J00324391-6301533  5.061  5.156  4.985 e,f     Hipparcos
Gl 22.1               Wo 9014       00 33 05.56 +42 00 05.3   0.313   0.149 J00330551+4200050  8.311  7.626  7.482 c       Hipparcos
Gl 22.2               Wo 9017       00 34 27.83 -52 22 23.1   0.227   0.039 J00342781-5222236  4.744  4.490  4.434         Hipparcos
Wo 9016               HIP 2712      00 34 29.71 +47 54 56.0   0.399   0.061 J00342967+4754557  6.324  6.077  6.031         Hipparcos
GJ 3040                             00 34 37.66 +71 11 42.1   0.516  -0.298 J00343773+7111418  9.465  8.878  8.669         2MASS
GJ 2008                             00 35 09.33 -23 17 26.1   0.156  -0.208 J00350931-2317257 13.580 13.060 12.905 c       2MASS
Gl 23 AB              HIP 2762      00 35 14.88 -03 35 34.3   0.416  -0.023 J00351484-0335343  4.348  3.964  3.900 c,e,f   Hipparcos
GJ 3041               HIP 2802      00 35 41.18 -48 00 03.3   0.047  -0.101 J00354117-4800033  4.790  4.625  4.502         Hipparcos
GJ 1014                             00 35 55.52 +10 28 35.5   1.111  -0.415 J00355557+1028352 10.222  9.656  9.367         2MASS
Gl 24 B               HIP 2848      00 36 04.41 -49 07 41.3   0.385  -0.130 J00360439-4907413  7.013  6.692  6.561         Hipparcos
GJ 3042                             00 36 08.45 +45 30 57.4  -0.263  -0.140 J00360847+4530575  8.167  7.576  7.359         2MASS
GJ 3043               HIP 2873      00 36 24.31 +08 52 26.9   0.000  -0.026 J00362429+0852267  6.328  5.925  5.863         Hipparcos
Gl 24 A               HIP 2888      00 36 37.98 -49 07 56.4   0.387  -0.132 J00363798-4907564  5.664  5.398  5.303         Hipparcos
GJ 2009                             00 36 47.22 -18 50 14.0   0.160  -0.082 J00364720-1850139 13.046 12.634 12.562 c       2MASS
Gl 25 AB              HIP 2941      00 37 20.70 -24 46 02.2   1.391  -0.013 J00372057-2446023  4.437  3.976  4.027 c,e,f   Hipparcos
GJ 2010                             00 37 25.00 -20 53 42.5  -0.238  -0.207 J00372502-2053422 11.454 10.884 10.648         2MASS
